Employee_ID,Age,Gender,Department,Remote_Work,Daily_Work_Hours,Screen_Time_Hours,Sleep_Quality,Physical_Activity_Level,Burnout_Score,Stress_Level,Coffee_Intake_per_Day,Meeting_Hours_per_Day,Internet_Speed_MBPS,Device_Type,Noise_Level,Mood,Commute_Hours_PreRemote,Work_Engagement_Score,Weekly_Mental_Breaks
E003,43,male,HR,no,6.0,7,Good,Low,5.38,High,3.0,,50.0,nan,Medium,Tired,3.0,4.45,3.0
E002,25,Female,HR,Yes,6.0,6 hrs,nan,nan,6.23,High,,,150.0,nan,Medium,nan,4.0,3.83,0.0
E003,39,male,Admin,yes,8.0,8,Good,Medium,8.58,High,1.0,3.0,150.0,Mobile,nan,nan,5.0,8.04,0.0
E005,47,Male,it,Yes,12.0,10.5 hrs,Fair,High,1.31,Medium,1.0,5.0,150.0,Mobile,Medium,Tired,2.0,6.26,2.0
E004,43,M,Admin,No,6.0,7,Poor,Medium,3.99,High,,2.0,10.0,Mobile,Low,nan,1.0,7.35,2.0
E004,54,M,nan,no,8.0,8,Fair,High,6.92,nan,1.0,1.0,100.0,Mobile,High,Stressed,1.0,0.68,4.0
E003,35,Female,hr,yes,4.0,10.5 hrs,Fair,High,4.91,Medium,4.0,1.0,150.0,Desktop,nan,Stressed,1.0,6.49,
E004,52,Male,Admin,Yes,4.0,nan,Good,Low,6.19,High,0.0,5.0,,nan,Low,nan,5.0,4.98,4.0
E005,31,FEMALE,nan,yes,,8,nan,High,4.62,Medium,1.0,4.0,20.0,Laptop,nan,Happy,3.0,3.21,4.0
E006,45,Male,it,nan,,10.5 hrs,Fair,Medium,8.12,High,4.0,5.0,20.0,nan,Medium,Tired,0.0,5.87,4.0
E002,42,nan,it,Yes,,7,Poor,Medium,7.32,High,2.0,4.0,50.0,nan,nan,Happy,2.0,8.18,0.0
E001,29,Female,Admin,nan,8.0,7,Good,Low,5.6,nan,0.0,,10.0,Mobile,nan,Stressed,0.0,10.53,
E005,53,Male,it,yes,4.0,10.5 hrs,Fair,High,8.35,Medium,,6.0,20.0,Mobile,High,nan,3.0,6.48,3.0
E005,52,FEMALE,IT,no,,nan,Good,Medium,5.62,Medium,2.0,4.0,20.0,Desktop,nan,Calm,4.0,4.58,5.0
E001,44,Female,nan,no,10.0,10.5 hrs,Poor,nan,5.13,Low,3.0,1.0,50.0,Mobile,nan,Calm,0.0,4.46,5.0
E001,46,M,nan,no,,6 hrs,Good,Low,7.94,High,3.0,2.0,50.0,Desktop,High,Happy,0.0,7.93,4.0
E002,28,F,HR,nan,4.0,10.5 hrs,nan,nan,2.2,High,0.0,3.0,100.0,nan,nan,Happy,2.0,4.01,
E002,40,Male,Sales,no,10.0,10.5 hrs,Fair,Medium,5.34,nan,1.0,,100.0,nan,nan,Happy,3.0,7.24,1.0
E002,28,M,hr,No,8.0,7,Fair,nan,5.71,nan,0.0,2.0,100.0,nan,Low,Stressed,2.0,6.59,5.0
E004,29,M,it,Yes,10.0,nan,nan,Low,4.55,Medium,1.0,3.0,20.0,Desktop,Low,Stressed,4.0,6.37,4.0
E005,35,male,nan,Yes,4.0,10.5 hrs,Poor,nan,3.51,nan,,6.0,50.0,Desktop,nan,nan,5.0,2.86,0.0
E006,22,FEMALE,nan,yes,6.0,8,Poor,Medium,4.86,Medium,3.0,1.0,,Desktop,nan,Stressed,5.0,5.29,2.0
E001,34,nan,HR,nan,10.0,7,Good,nan,1.98,High,0.0,,10.0,Mobile,Medium,nan,5.0,3.08,1.0
E005,24,F,hr,Yes,4.0,7,Fair,nan,8.11,High,0.0,3.0,100.0,Laptop,Low,nan,1.0,4.82,4.0
E005,49,Male,Sales,nan,,10.5 hrs,Poor,nan,8.21,Medium,,6.0,,Mobile,Medium,Happy,5.0,7.83,0.0
E002,36,M,Sales,yes,6.0,8,nan,High,5.15,nan,1.0,,150.0,Laptop,nan,Calm,,8.46,2.0
E002,24,M,it,no,8.0,10.5 hrs,nan,Medium,4.38,nan,3.0,4.0,20.0,Mobile,Medium,Happy,5.0,6.43,4.0
E005,25,nan,Sales,yes,8.0,8,nan,nan,2.05,Medium,3.0,5.0,10.0,nan,Medium,Stressed,3.0,4.86,0.0
E002,26,FEMALE,Sales,No,12.0,7,Poor,Medium,3.69,High,1.0,,20.0,Desktop,High,Tired,,9.18,0.0
E004,47,F,Admin,no,8.0,8,nan,nan,7.97,Medium,,,,Mobile,High,Stressed,5.0,4.83,3.0
E001,46,F,hr,no,12.0,10.5 hrs,Fair,Low,5.02,nan,1.0,3.0,100.0,Desktop,nan,Calm,5.0,3.73,0.0
E005,31,nan,hr,no,8.0,6 hrs,Poor,Low,3.97,Medium,,2.0,,Mobile,Low,Stressed,4.0,7.39,4.0
E001,29,M,Admin,yes,8.0,6 hrs,Poor,Low,5.09,High,1.0,1.0,,nan,nan,Calm,4.0,6.92,
E004,33,M,it,No,8.0,8,Fair,nan,3.92,Low,3.0,1.0,20.0,Desktop,Low,Tired,0.0,4.91,0.0
E002,24,M,nan,nan,12.0,10.5 hrs,nan,Medium,1.85,Medium,3.0,,100.0,nan,High,Tired,,6.2,1.0
E003,48,M,HR,yes,,nan,Poor,Low,4.39,Low,0.0,,20.0,Laptop,Low,nan,2.0,6.88,0.0
E004,44,male,it,Yes,12.0,6 hrs,Fair,High,2.91,Medium,,6.0,100.0,Desktop,Medium,Stressed,0.0,6.41,0.0
E003,54,male,IT,Yes,10.0,7,Fair,Low,5.86,nan,3.0,5.0,50.0,Mobile,Medium,nan,0.0,6.92,5.0
E001,35,nan,Sales,yes,4.0,10.5 hrs,Good,Low,6.86,nan,,4.0,50.0,Desktop,High,Happy,1.0,4.99,1.0
E005,44,F,Admin,nan,4.0,10.5 hrs,nan,High,3.58,Low,,,50.0,Laptop,nan,Happy,2.0,7.05,4.0
E002,52,Female,HR,Yes,,6 hrs,nan,Low,5.39,Medium,2.0,4.0,50.0,Laptop,Low,Happy,1.0,6.04,2.0
E004,34,Male,nan,nan,4.0,nan,Fair,nan,4.97,nan,2.0,1.0,50.0,Mobile,nan,Happy,5.0,5.06,3.0
E002,33,FEMALE,nan,no,8.0,7,Poor,nan,3.53,Low,1.0,4.0,150.0,nan,Low,Happy,4.0,5.51,5.0
E003,39,Female,hr,yes,,nan,Good,Low,0.44,Low,,,20.0,Desktop,High,Stressed,5.0,5.8,2.0
E003,42,male,IT,no,4.0,7,Good,Medium,2.95,Medium,1.0,,,nan,Medium,nan,1.0,3.11,4.0
E006,22,male,nan,Yes,12.0,6 hrs,Poor,Medium,3.45,nan,1.0,6.0,50.0,nan,Medium,nan,4.0,4.73,4.0
E005,30,male,IT,nan,10.0,10.5 hrs,Good,Low,5.29,Low,0.0,5.0,150.0,Mobile,Low,Calm,0.0,6.13,5.0
E003,44,Female,Sales,no,6.0,7,Poor,High,5.49,High,2.0,1.0,150.0,Desktop,nan,Happy,5.0,3.3,1.0
E005,35,male,hr,Yes,10.0,10.5 hrs,Good,nan,7.48,High,2.0,4.0,20.0,Laptop,High,Tired,1.0,4.76,2.0
E006,32,Female,HR,No,4.0,8,Poor,nan,2.93,nan,3.0,3.0,20.0,Mobile,High,Calm,5.0,10.77,0.0
E004,28,male,hr,no,,8,Fair,nan,3.36,nan,2.0,3.0,100.0,nan,nan,Calm,2.0,3.74,1.0
E006,52,M,Sales,No,4.0,6 hrs,Fair,Low,3.71,High,3.0,6.0,100.0,Laptop,Medium,Stressed,1.0,5.23,1.0
E005,45,M,Admin,No,12.0,6 hrs,Good,nan,4.62,Low,,4.0,50.0,nan,nan,Calm,4.0,4.33,3.0
E003,47,Male,nan,Yes,10.0,6 hrs,Good,Low,5.44,Medium,0.0,3.0,10.0,Desktop,Medium,Tired,3.0,5.77,1.0
E001,51,male,IT,yes,12.0,8,Fair,Low,5.86,Low,1.0,5.0,100.0,nan,Low,nan,5.0,4.37,2.0
E005,26,nan,Admin,nan,12.0,7,nan,Medium,1.24,nan,1.0,2.0,10.0,Laptop,High,Calm,,5.51,4.0
E002,26,Male,Sales,Yes,6.0,nan,Poor,High,7.39,nan,,5.0,,Desktop,Low,Stressed,5.0,4.56,5.0
E001,40,Female,nan,no,12.0,6 hrs,nan,High,5.94,Medium,3.0,6.0,100.0,Mobile,nan,Happy,,8.11,3.0
E005,49,Male,it,nan,12.0,nan,Good,High,6.77,Low,4.0,5.0,,nan,nan,Tired,2.0,6.16,5.0
E002,47,male,IT,yes,6.0,nan,Fair,nan,0.22,Medium,,4.0,150.0,Desktop,Low,Happy,4.0,3.99,5.0
E006,44,Female,Sales,Yes,8.0,8,Good,Medium,6.66,Low,3.0,,150.0,Desktop,nan,Calm,5.0,7.68,0.0
E001,51,nan,HR,yes,8.0,7,nan,Medium,3.01,Low,,5.0,,Mobile,nan,nan,,4.08,
E005,24,Female,HR,no,,8,Fair,Low,4.1,High,0.0,4.0,150.0,Mobile,nan,Stressed,3.0,2.87,2.0
E004,49,M,nan,Yes,6.0,6 hrs,Fair,Medium,7.87,Low,,1.0,,Laptop,High,Tired,5.0,5.99,0.0
E006,54,Female,nan,no,,8,Fair,Low,6.32,nan,,4.0,10.0,Desktop,High,nan,2.0,9.81,
E002,24,Female,HR,nan,,8,Poor,Medium,3.65,nan,2.0,6.0,50.0,Desktop,Medium,Tired,3.0,2.34,
E004,26,Male,it,nan,12.0,8,Good,Low,6.59,nan,3.0,4.0,,Laptop,High,Stressed,0.0,3.34,1.0
E003,40,nan,hr,yes,,6 hrs,nan,nan,5.72,High,0.0,1.0,100.0,nan,Low,Stressed,0.0,7.51,2.0
E006,22,F,HR,yes,4.0,6 hrs,Poor,Medium,4.19,Medium,1.0,,100.0,Desktop,Low,Calm,5.0,4.72,5.0
E006,30,Female,nan,nan,10.0,8,nan,High,5.95,nan,4.0,2.0,10.0,Desktop,High,Tired,1.0,7.22,
E005,26,FEMALE,nan,No,4.0,8,Poor,Low,4.24,nan,4.0,6.0,,nan,Low,Calm,1.0,4.33,3.0
E005,54,F,it,nan,4.0,nan,Fair,Medium,5.77,Medium,3.0,1.0,150.0,Mobile,nan,Tired,1.0,6.28,5.0
E002,46,M,HR,Yes,12.0,7,Poor,Medium,5.75,High,,4.0,50.0,Mobile,High,Tired,1.0,9.49,3.0
E006,50,nan,it,no,10.0,nan,Good,Low,6.01,Low,2.0,6.0,100.0,Mobile,Medium,Happy,,3.61,0.0
E005,46,nan,HR,nan,,7,Good,Medium,8.85,Medium,,3.0,50.0,Laptop,Medium,Calm,5.0,8.05,4.0
E003,30,M,hr,nan,10.0,7,nan,High,6.89,Low,3.0,4.0,50.0,nan,High,Tired,3.0,7.36,
E005,24,Female,Sales,no,,8,Fair,Low,7.0,Low,4.0,1.0,20.0,Mobile,Low,Tired,2.0,3.02,5.0
E006,36,Male,HR,no,8.0,nan,Fair,Low,3.95,Low,4.0,4.0,50.0,Laptop,High,Stressed,2.0,7.12,3.0
E001,25,F,Sales,Yes,6.0,7,nan,Low,1.97,Medium,,,,nan,High,Happy,,6.15,0.0
E004,41,M,HR,no,12.0,7,Good,Low,4.62,Medium,,1.0,20.0,Mobile,Medium,Stressed,1.0,6.18,4.0
E006,44,M,hr,yes,,6 hrs,Good,Low,4.03,Low,,5.0,10.0,Desktop,nan,Calm,0.0,6.67,2.0
E003,29,FEMALE,Admin,nan,,7,nan,High,6.2,High,1.0,2.0,150.0,Desktop,nan,Calm,4.0,5.3,3.0
E006,54,Female,nan,no,10.0,8,Fair,Low,4.6,High,2.0,2.0,20.0,Mobile,High,Tired,1.0,6.14,3.0
E003,54,F,Sales,Yes,12.0,10.5 hrs,nan,High,7.65,High,2.0,6.0,50.0,Mobile,Medium,nan,1.0,6.48,5.0
E006,28,M,it,no,,6 hrs,nan,High,1.52,nan,4.0,1.0,150.0,Laptop,Medium,Stressed,5.0,7.49,5.0
E004,43,nan,HR,nan,8.0,10.5 hrs,Poor,High,4.44,Low,4.0,2.0,50.0,Desktop,High,Calm,,2.95,0.0
E004,26,M,nan,No,4.0,8,nan,Low,5.75,nan,3.0,3.0,50.0,nan,High,Tired,0.0,8.58,3.0
E003,36,M,HR,no,,10.5 hrs,Good,High,3.05,High,3.0,6.0,20.0,Mobile,High,Tired,4.0,3.69,
E006,42,M,it,yes,10.0,7,nan,Low,6.81,Medium,1.0,3.0,10.0,nan,nan,Stressed,3.0,7.52,0.0
E004,46,Male,hr,nan,8.0,10.5 hrs,Fair,High,6.74,High,4.0,2.0,50.0,Mobile,High,Tired,3.0,6.16,3.0
E002,38,male,IT,Yes,12.0,nan,Fair,Low,4.14,nan,3.0,1.0,,Desktop,Medium,Happy,4.0,3.44,0.0
E006,28,FEMALE,HR,nan,,8,Good,Medium,10.3,nan,1.0,6.0,20.0,Mobile,High,nan,4.0,7.06,
E004,40,nan,Admin,No,8.0,nan,Fair,Medium,2.76,High,2.0,3.0,,nan,Medium,Stressed,,4.11,
E001,28,Male,it,Yes,8.0,10.5 hrs,nan,High,2.31,Low,4.0,,,Desktop,Medium,Stressed,3.0,8.14,3.0
E001,45,FEMALE,IT,No,8.0,nan,Good,nan,4.05,Medium,0.0,2.0,50.0,Mobile,Low,Stressed,1.0,4.58,2.0
E002,32,M,HR,No,8.0,6 hrs,Fair,nan,5.38,Medium,4.0,4.0,,Desktop,Medium,Tired,,3.01,5.0
E004,22,FEMALE,Sales,yes,8.0,10.5 hrs,nan,Medium,1.77,High,3.0,3.0,150.0,Laptop,Low,Tired,1.0,9.07,2.0
E001,53,Female,nan,no,8.0,nan,Fair,High,6.24,Low,4.0,5.0,10.0,nan,High,Stressed,5.0,6.36,
E006,23,Female,nan,yes,6.0,7,Poor,High,9.92,Low,0.0,6.0,50.0,Mobile,Low,Stressed,0.0,7.73,0.0
E005,36,male,it,yes,12.0,10.5 hrs,Fair,High,2.21,High,4.0,3.0,,Mobile,nan,Happy,4.0,4.3,
E004,42,male,Sales,yes,4.0,6 hrs,Good,nan,5.39,Medium,3.0,6.0,10.0,Mobile,nan,Calm,1.0,2.22,2.0
E002,45,FEMALE,hr,Yes,12.0,7,nan,Medium,6.92,Medium,2.0,2.0,10.0,nan,nan,Happy,1.0,9.35,0.0
E004,38,Male,IT,no,10.0,10.5 hrs,nan,High,6.53,Medium,3.0,2.0,150.0,Laptop,High,Stressed,0.0,5.99,5.0
E003,30,Male,it,no,10.0,7,Good,Medium,9.32,Low,1.0,6.0,150.0,nan,Medium,Tired,4.0,6.98,
E003,41,M,Admin,Yes,12.0,10.5 hrs,Poor,Medium,4.06,High,3.0,2.0,100.0,Mobile,nan,Tired,0.0,7.31,0.0
E001,40,Male,HR,yes,8.0,10.5 hrs,nan,Low,8.97,Low,1.0,1.0,10.0,nan,Low,Stressed,0.0,5.33,5.0
E003,39,male,nan,yes,6.0,8,Good,nan,4.88,Medium,4.0,6.0,50.0,Mobile,High,Calm,3.0,6.45,1.0
E002,41,Male,HR,No,4.0,nan,Fair,Medium,3.98,Low,1.0,1.0,150.0,nan,High,nan,0.0,9.19,2.0
E001,51,M,IT,No,,10.5 hrs,Poor,Low,8.76,Medium,,6.0,50.0,Desktop,Low,nan,,5.94,1.0
E002,22,Female,Sales,nan,,6 hrs,Good,nan,4.26,High,4.0,4.0,10.0,nan,Low,Happy,,7.88,
E006,45,Male,Sales,No,8.0,nan,Fair,High,7.14,Medium,1.0,4.0,150.0,Mobile,High,Calm,,2.02,5.0
E002,45,Male,it,no,12.0,8,nan,High,4.01,nan,3.0,3.0,100.0,Mobile,High,nan,4.0,8.25,5.0
E003,40,male,it,Yes,,nan,nan,Low,2.45,nan,0.0,2.0,10.0,nan,Medium,Calm,1.0,2.96,1.0
E006,51,FEMALE,Sales,yes,12.0,nan,Poor,High,2.46,High,4.0,4.0,50.0,nan,High,Tired,1.0,8.02,
E003,47,Female,it,nan,6.0,10.5 hrs,Fair,Low,6.41,Low,1.0,2.0,100.0,Desktop,Low,Tired,3.0,6.78,5.0
E002,50,FEMALE,Sales,No,6.0,6 hrs,Good,Low,2.87,Low,0.0,3.0,10.0,Laptop,High,Calm,4.0,5.81,3.0
E003,34,M,IT,nan,12.0,10.5 hrs,nan,High,4.58,Low,1.0,1.0,150.0,Laptop,High,Stressed,,5.8,0.0
E003,25,M,it,Yes,8.0,6 hrs,Good,nan,3.7,Medium,1.0,4.0,,Desktop,Low,nan,1.0,5.49,4.0
E003,38,FEMALE,Sales,Yes,8.0,6 hrs,Good,Low,3.24,nan,1.0,5.0,10.0,Laptop,Medium,nan,0.0,4.36,1.0
E004,54,male,it,nan,8.0,7,Good,nan,3.49,High,3.0,5.0,20.0,Laptop,High,Tired,,5.59,3.0
E006,26,F,HR,nan,,10.5 hrs,Poor,nan,5.41,Low,1.0,5.0,50.0,Mobile,nan,Happy,,10.42,2.0
E006,49,male,nan,nan,4.0,8,Good,Low,-0.96,Low,0.0,,150.0,Mobile,nan,nan,2.0,8.6,4.0
E006,45,F,HR,yes,4.0,nan,Poor,nan,6.69,High,,5.0,150.0,Mobile,Low,Tired,,4.26,5.0
E002,38,F,hr,no,8.0,7,Poor,Low,2.41,Medium,1.0,5.0,20.0,nan,Low,Tired,2.0,6.54,0.0
E005,32,male,Sales,No,12.0,8,Fair,High,2.67,Low,,5.0,,nan,Low,Calm,,6.19,3.0
E002,33,F,hr,No,6.0,10.5 hrs,nan,High,2.11,Medium,2.0,5.0,100.0,Laptop,nan,Calm,,5.72,4.0
E006,34,F,Sales,No,10.0,6 hrs,Good,High,5.54,Medium,4.0,4.0,150.0,nan,Low,Calm,,3.99,0.0
E001,29,F,nan,nan,6.0,10.5 hrs,Fair,High,7.93,Medium,3.0,5.0,100.0,Mobile,nan,Happy,2.0,6.89,0.0
E003,22,Female,it,nan,6.0,10.5 hrs,Fair,High,4.73,Low,2.0,6.0,100.0,nan,Medium,nan,2.0,7.69,4.0
E003,30,M,Sales,nan,10.0,7,Fair,nan,5.87,Low,2.0,6.0,100.0,Laptop,Low,Happy,0.0,4.33,3.0
E005,49,F,HR,yes,8.0,8,Fair,nan,6.08,High,0.0,5.0,,Mobile,High,Happy,1.0,9.91,5.0
E001,23,M,it,yes,6.0,7,Fair,nan,6.48,High,0.0,,10.0,Laptop,Medium,Calm,3.0,9.04,4.0
E004,35,nan,nan,yes,10.0,8,Good,Medium,2.99,Medium,,3.0,20.0,nan,nan,Tired,0.0,7.1,1.0
E002,34,M,HR,yes,,7,Fair,Medium,8.19,Low,,4.0,50.0,Desktop,Low,Stressed,1.0,3.54,0.0
E004,23,nan,it,Yes,12.0,nan,nan,Low,4.33,Medium,3.0,6.0,20.0,Desktop,High,Tired,4.0,6.8,2.0
E001,25,Female,Sales,yes,12.0,6 hrs,Poor,Medium,5.56,High,3.0,3.0,150.0,Mobile,nan,Tired,1.0,6.56,5.0
E005,33,M,Sales,yes,12.0,6 hrs,Poor,High,4.7,Medium,4.0,2.0,20.0,Laptop,Medium,Tired,1.0,7.03,
E001,31,FEMALE,HR,yes,8.0,6 hrs,nan,High,4.11,nan,1.0,5.0,50.0,Desktop,High,Tired,1.0,9.18,
E005,24,Male,IT,No,6.0,nan,Good,High,6.88,Medium,3.0,1.0,10.0,Desktop,Medium,Happy,0.0,5.65,4.0
E004,25,Female,Sales,No,6.0,nan,Poor,Low,6.27,Low,3.0,,150.0,Mobile,Low,Calm,1.0,10.1,4.0
E004,27,Male,IT,No,4.0,6 hrs,nan,Low,0.63,Medium,,,10.0,Mobile,High,Calm,,6.81,0.0
E001,44,FEMALE,it,no,12.0,6 hrs,nan,Low,5.84,Medium,1.0,,150.0,Laptop,Low,Tired,1.0,5.42,0.0
E001,26,male,IT,Yes,8.0,8,Fair,Low,9.2,Low,4.0,5.0,50.0,Desktop,nan,Stressed,4.0,10.8,4.0
E003,24,male,HR,nan,10.0,8,Poor,nan,5.37,nan,0.0,5.0,10.0,Laptop,nan,nan,4.0,7.66,
E005,31,F,hr,yes,8.0,10.5 hrs,Fair,Low,3.98,Low,4.0,3.0,50.0,Laptop,Medium,Tired,2.0,5.09,2.0
E003,40,male,hr,No,6.0,7,Good,Low,4.23,High,1.0,,50.0,Mobile,Low,Tired,5.0,6.17,0.0
E002,35,Female,HR,Yes,12.0,8,Poor,Medium,3.88,nan,0.0,,,Laptop,Low,Stressed,0.0,7.27,0.0
E002,42,male,Admin,yes,4.0,8,Poor,nan,2.7,nan,0.0,,20.0,nan,High,Happy,1.0,5.7,1.0
E001,49,Female,hr,no,,8,nan,High,4.63,Low,0.0,2.0,150.0,Laptop,nan,Tired,2.0,6.27,3.0
E004,42,Female,HR,nan,8.0,8,Poor,Medium,4.62,Medium,4.0,3.0,100.0,Desktop,Low,Stressed,2.0,4.37,1.0
E002,45,Male,Sales,yes,4.0,nan,Good,Low,6.2,High,,4.0,100.0,Laptop,Low,Happy,0.0,2.63,2.0
E002,38,male,IT,nan,6.0,10.5 hrs,Good,High,3.96,High,1.0,,10.0,nan,Low,Happy,5.0,6.21,
E003,43,M,hr,yes,10.0,8,Poor,High,9.02,nan,4.0,2.0,50.0,nan,nan,Tired,2.0,6.28,3.0
E003,40,nan,Sales,no,8.0,7,nan,High,3.13,High,4.0,6.0,20.0,Desktop,nan,Happy,2.0,7.05,
E002,31,male,hr,Yes,,8,Good,Medium,5.29,nan,2.0,2.0,150.0,Desktop,nan,Tired,0.0,4.85,4.0
E001,32,male,it,nan,6.0,nan,Fair,nan,3.5,nan,3.0,2.0,10.0,Laptop,Medium,Tired,3.0,3.32,
E003,23,male,HR,nan,12.0,6 hrs,Good,nan,3.92,High,4.0,3.0,50.0,nan,nan,Calm,2.0,4.07,2.0
E002,54,F,HR,Yes,8.0,6 hrs,Poor,High,4.44,nan,2.0,5.0,,nan,nan,nan,4.0,8.11,2.0
